Token	Uid	Link
"theprospect"	15949696	"https://twitter.com/theprospect"
"CRTV"	753385398718521344	"https://twitter.com/CRTV"
"BroadbandCensus"	21225135	"https://twitter.com/BroadbandCensus"
"featurestory"	19273804	"https://twitter.com/featurestory"
"kwtx"	12469012	"https://twitter.com/kwtx"
"anadoluagency"	240265305	"https://twitter.com/anadoluagency"
"BloombergBNA"	459277523	"https://twitter.com/BloombergBNA"
"ELTIEMPO"	9633802	"https://twitter.com/ELTIEMPO"
"DefenseOne"	1433356862	"https://twitter.com/DefenseOne"
"estrellatv"	145862542	"https://twitter.com/estrellatv"
"ampublictv"	14796038	"https://twitter.com/ampublictv"
"dpa"	40227292	"https://twitter.com/dpa"
"defense_news"	21312961	"https://twitter.com/defense_news"
"Circa"	441389311	"https://twitter.com/Circa"
"ORF"	1192686992	"https://twitter.com/ORF"
"ntvde"	19232587	"https://twitter.com/ntvde"
"JTBC_news"	397672819	"https://twitter.com/JTBC_news"
"EUROPOLITICS_sa"	1731731006	"https://twitter.com/EUROPOLITICS_sa"
"DailyMail"	380285402	"https://twitter.com/DailyMail"
"DefenseDaily"	33201624	"https://twitter.com/DefenseDaily"
"Cosmopolitan"	23482952	"https://twitter.com/Cosmopolitan"
"elsalvadorcom"	81986272	"https://twitter.com/elsalvadorcom"
"FrontlineMedCom"	33533010	"https://twitter.com/FrontlineMedCom"
"La_SER"	43910684	"https://twitter.com/La_SER"
"EENewsUpdates"	90614279	"https://twitter.com/EENewsUpdates"
"AKEnergyDesk"	803742214811623425	"https://twitter.com/AKEnergyDesk"
"nationaljournal"	15210284	"https://twitter.com/nationaljournal"
"UnivisionNews"	1596835069	"https://twitter.com/UnivisionNews"
"Groupe_TVA"	480569368	"https://twitter.com/Groupe_TVA"
"MNINews"	71321874	"https://twitter.com/MNINews"
"PGCTV"	163927728	"https://twitter.com/PGCTV"
"CrainComm"	523211135	"https://twitter.com/CrainComm"
"akahata_PR"	174574802	"https://twitter.com/akahata_PR"
"GOVERNING"	25334900	"https://twitter.com/GOVERNING"
"InsideElections"	397291925	"https://twitter.com/InsideElections"
"cqresearcher"	18993741	"https://twitter.com/cqresearcher"
"COPublicRadio"	36190699	"https://twitter.com/COPublicRadio"
"Gannett"	245407446	"https://twitter.com/Gannett"
"euronews"	25067168	"https://twitter.com/euronews"
"telesurenglish"	296005306	"https://twitter.com/telesurenglish"
"FERNnews"	185817496	"https://twitter.com/FERNnews"
"clarincom"	8105922	"https://twitter.com/clarincom"
"NTDChinese"	171636258	"https://twitter.com/NTDChinese"
"ians_india"	141584822	"https://twitter.com/ians_india"
"FT"	18949452	"https://twitter.com/FT"
"BloombergTV"	35002876	"https://twitter.com/BloombergTV"
"AargauerZeitung"	145213073	"https://twitter.com/AargauerZeitung"
"McClatchyDC"	17487795	"https://twitter.com/McClatchyDC"
"DRNyheder"	14987451	"https://twitter.com/DRNyheder"
"CQRollCall"	410216127	"https://twitter.com/CQRollCall"
"derfreitag"	14613514	"https://twitter.com/derfreitag"
"CatalunyaRadio"	7679392	"https://twitter.com/CatalunyaRadio"
"FoxBusiness"	56413858	"https://twitter.com/FoxBusiness"
"Comm_Daily"	498991565	"https://twitter.com/Comm_Daily"
"alhayatdaily"	177941018	"https://twitter.com/alhayatdaily"
"hsfi"	39540130	"https://twitter.com/hsfi"
"MinnPost"	14801219	"https://twitter.com/MinnPost"
"insideGNSS"	852268453817962503	"https://twitter.com/insideGNSS"
"TheDealNewsroom"	314005753	"https://twitter.com/TheDealNewsroom"
"IDGWorld"	65480056	"https://twitter.com/IDGWorld"
"CNEWS"	18396319	"https://twitter.com/CNEWS"
"wtimespolitics"	762231576	"https://twitter.com/wtimespolitics"
"IHSEnergyDaily"	351684372	"https://twitter.com/IHSEnergyDaily"
"NYTmag"	16929600	"https://twitter.com/NYTmag"
"Recode"	2244340904	"https://twitter.com/Recode"
"nflnetwork"	19362299	"https://twitter.com/nflnetwork"
"Notimex"	19889168	"https://twitter.com/Notimex"
"tv_asahi_news"	237619547	"https://twitter.com/tv_asahi_news"
"47abc"	110771229	"https://twitter.com/47abc"
"RealClearNews"	20094138	"https://twitter.com/RealClearNews"
"kyodo_english"	193042922	"https://twitter.com/kyodo_english"
"ryukyushimpo"	15746839	"https://twitter.com/ryukyushimpo"
"SkyNews"	7587032	"https://twitter.com/SkyNews"
"SmithsonianMag"	17998609	"https://twitter.com/SmithsonianMag"
"withMBC"	104673579	"https://twitter.com/withMBC"
"NRKno"	10451602	"https://twitter.com/NRKno"
"MapLight"	18094696	"https://twitter.com/MapLight"
"OuestFrance"	35777570	"https://twitter.com/OuestFrance"
"pewtrusts"	15738935	"https://twitter.com/pewtrusts"
"NRO"	19417492	"https://twitter.com/NRO"
"TRTTelevizyon"	303304612	"https://twitter.com/TRTTelevizyon"
"NerdWallet"	31158841	"https://twitter.com/NerdWallet"
"nbcwashington"	14980820	"https://twitter.com/nbcwashington"
"DecisionHealth"	119456609	"https://twitter.com/DecisionHealth"
"elpaisinenglish"	216739115	"https://twitter.com/elpaisinenglish"
"SBNation"	16745015	"https://twitter.com/SBNation"
"CBSDC"	415851069	"https://twitter.com/CBSDC"
"tv3cat"	28373820	"https://twitter.com/tv3cat"
"WestwoodOne"	1694596596	"https://twitter.com/WestwoodOne"
"starsandstripes"	9130702	"https://twitter.com/starsandstripes"
"Slate"	15164565	"https://twitter.com/Slate"
"PBS"	12133382	"https://twitter.com/PBS"
"pioneernewsin"	750042456671084544	"https://twitter.com/pioneernewsin"
"JOC_Updates"	22051757	"https://twitter.com/JOC_Updates"
"YahooNews"	7309052	"https://twitter.com/YahooNews"
"minesafety"	17158510	"https://twitter.com/minesafety"
"washtradedaily"	53114618	"https://twitter.com/washtradedaily"
"revistaproceso"	41156599	"https://twitter.com/revistaproceso"
"nbcsandiego"	15535860	"https://twitter.com/nbcsandiego"
"tokyo_shimbun"	268213306	"https://twitter.com/tokyo_shimbun"
"kuna_en"	255455960	"https://twitter.com/kuna_en"
"MorningConsult"	149954544	"https://twitter.com/MorningConsult"
"RedeGlobo"	18219976	"https://twitter.com/RedeGlobo"
"The74"	3301029022	"https://twitter.com/The74"
"mbc_group"	18185862	"https://twitter.com/mbc_group"
"InsideSourcesDC"	2264624702	"https://twitter.com/InsideSourcesDC"
"skynewsarabia"	216289357	"https://twitter.com/skynewsarabia"
"SinoVisionEng"	851436498	"https://twitter.com/SinoVisionEng"
"scrippsnews"	62518039	"https://twitter.com/scrippsnews"
"tagesanzeiger"	202985146	"https://twitter.com/tagesanzeiger"
"TheRoot"	23995748	"https://twitter.com/TheRoot"
"NoticiasYaDC"	156275320	"https://twitter.com/NoticiasYaDC"
"sverigesradio"	18759580	"https://twitter.com/sverigesradio"
"ProPublica"	14606079	"https://twitter.com/ProPublica"
"ThompsonPub"	32494489	"https://twitter.com/ThompsonPub"
"PMTEditor"	798790051	"https://twitter.com/PMTEditor"
"medillonthehill"	17091862	"https://twitter.com/medillonthehill"
"SXMPolitics"	4114871654	"https://twitter.com/SXMPolitics"
"IBDinvestors"	21328656	"https://twitter.com/IBDinvestors"
"tvn24"	14493047	"https://twitter.com/tvn24"
"AJENews"	18424289	"https://twitter.com/AJENews"
"VanityFair"	15279429	"https://twitter.com/VanityFair"
"ToTheContrary"	19396560	"https://twitter.com/ToTheContrary"
"medpagetoday"	17509945	"https://twitter.com/medpagetoday"
"segyecom"	249001732	"https://twitter.com/segyecom"
"fox5dc"	13918492	"https://twitter.com/fox5dc"
"manifest_agency"	153586491	"https://twitter.com/manifest_agency"
"tbs_pr"	74400823	"https://twitter.com/tbs_pr"
"tassagency_en"	1903712426	"https://twitter.com/tassagency_en"
"SPGlobal"	110522065	"https://twitter.com/SPGlobal"
"nishinippon_dsg"	62243812	"https://twitter.com/nishinippon_dsg"
"weeklystandard"	17546958	"https://twitter.com/weeklystandard"
"HouseDailyPress"	4180260695	"https://twitter.com/HouseDailyPress"
"IMFpubs"	333411028	"https://twitter.com/IMFpubs"
"RedAlert"	418991627	"https://twitter.com/RedAlert"
"KHNews"	23999515	"https://twitter.com/KHNews"
"NewsHour"	14437914	"https://twitter.com/NewsHour"
"NCRonline"	25146372	"https://twitter.com/NCRonline"
"wusa9"	15391102	"https://twitter.com/wusa9"
"voxmediainc"	386175131	"https://twitter.com/voxmediainc"
"NatMortgageNews"	28361130	"https://twitter.com/NatMortgageNews"
"TelegraphNews"	14138785	"https://twitter.com/TelegraphNews"
"teleSURtv"	45013575	"https://twitter.com/teleSURtv"
"tbnnetworks"	41481366	"https://twitter.com/tbnnetworks"
"themainichi"	43852658	"https://twitter.com/themainichi"
"ozy"	1396151678	"https://twitter.com/ozy"
"TheNLJ"	35790963	"https://twitter.com/TheNLJ"
"Yomiuri_Online"	109488235	"https://twitter.com/Yomiuri_Online"
"keithkoffler"	26860506	"https://twitter.com/keithkoffler"
"OANN"	1209936918	"https://twitter.com/OANN"
"RadioFreeAsia"	16561457	"https://twitter.com/RadioFreeAsia"
"VoyageReport"	817049481141252096	"https://twitter.com/VoyageReport"
"PTI_News"	245687754	"https://twitter.com/PTI_News"
"ICIS_News"	466570757	"https://twitter.com/ICIS_News"
"MotherJones"	18510860	"https://twitter.com/MotherJones"
"ThinkAdvisor"	34379992	"https://twitter.com/ThinkAdvisor"
"JTAnews"	14276734	"https://twitter.com/JTAnews"
"stlpublicradio"	13829772	"https://twitter.com/stlpublicradio"
"RNS"	27741349	"https://twitter.com/RNS"
"WaterwayJournal"	1002615974	"https://twitter.com/WaterwayJournal"
"TelemundoNews"	152142811	"https://twitter.com/TelemundoNews"
"newsmax"	20545835	"https://twitter.com/newsmax"
"spagov"	383112039	"https://twitter.com/spagov"
"i24NEWS"	1588169984	"https://twitter.com/i24NEWS"
"LePoint"	8460572	"https://twitter.com/LePoint"
"NewBayMedia"	108327492	"https://twitter.com/NewBayMedia"
"joongangilbo"	213591116	"https://twitter.com/joongangilbo"
"njhotline"	15210410	"https://twitter.com/njhotline"
"macleans"	16044997	"https://twitter.com/macleans"
"WORLD_mag"	16423253	"https://twitter.com/WORLD_mag"
"rtve"	26729931	"https://twitter.com/rtve"
"vpointworld"	116387548	"https://twitter.com/vpointworld"
"chemicalwatch"	73392641	"https://twitter.com/chemicalwatch"
"cronkitenews"	15446773	"https://twitter.com/cronkitenews"
"FullMeasureNews"	3434177986	"https://twitter.com/FullMeasureNews"
"BalkanInsight"	32836955	"https://twitter.com/BalkanInsight"
"CongressDigest"	282622234	"https://twitter.com/CongressDigest"
"foxnewsradio"	11611052	"https://twitter.com/foxnewsradio"
"GrayDCnews"	3305610617	"https://twitter.com/GrayDCnews"
"berlinerzeitung"	149030786	"https://twitter.com/berlinerzeitung"
"DailyCaller"	39308549	"https://twitter.com/DailyCaller"
"EFEnoticias"	105082141	"https://twitter.com/EFEnoticias"
"pressfreedom"	18650093	"https://twitter.com/pressfreedom"
"EWTN"	14790432	"https://twitter.com/EWTN"
"Hearst"	22029071	"https://twitter.com/Hearst"
"AviationWeek"	18148907	"https://twitter.com/AviationWeek"
"FedNet"	2250858631	"https://twitter.com/FedNet"
"ARDde"	556842058	"https://twitter.com/ARDde"
"CU_Times"	58544863	"https://twitter.com/CU_Times"
"cnainenglish"	1133087436	"https://twitter.com/cnainenglish"
"FedNewsRadio"	16977023	"https://twitter.com/FedNewsRadio"
"mrt1web"	2188449788	"https://twitter.com/mrt1web"
"CCTV"	56644534	"https://twitter.com/CCTV"
"50frames"	2712970962	"https://twitter.com/50frames"
"al_arabia_tv_"	501253480	"https://twitter.com/al_arabia_tv_"
"BuzzFeed"	5695632	"https://twitter.com/BuzzFeed"
"caixin"	104146203	"https://twitter.com/caixin"
"FoodChemNews"	237314178	"https://twitter.com/FoodChemNews"
"CityLab"	331803536	"https://twitter.com/CityLab"
"dwnews"	6134882	"https://twitter.com/dwnews"
"DiverseIssues"	42950839	"https://twitter.com/DiverseIssues"
"ARDstudioWien"	2196132265	"https://twitter.com/ARDstudioWien"
"ZDF"	57350105	"https://twitter.com/ZDF"
"TweetHCN"	37989800	"https://twitter.com/TweetHCN"
"barronsonline"	20449296	"https://twitter.com/barronsonline"
"gcr_alerts"	4824021381	"https://twitter.com/gcr_alerts"
"HearstTV"	72591229	"https://twitter.com/HearstTV"
"BGOV"	95506425	"https://twitter.com/BGOV"
"idg_news"	14776670	"https://twitter.com/idg_news"
"marketplaceAPM"	2416106558	"https://twitter.com/marketplaceAPM"
"N24English"	2481602246	"https://twitter.com/N24English"
"NATV17"	1184679056	"https://twitter.com/NATV17"
"YonhapNews"	31577674	"https://twitter.com/YonhapNews"
"frontlinepbs"	16016427	"https://twitter.com/frontlinepbs"
"thecipherbrief"	3165393827	"https://twitter.com/thecipherbrief"
"FinancialReview"	19050000	"https://twitter.com/FinancialReview"
"WPFWDC"	318629482	"https://twitter.com/WPFWDC"
"pml_tray"	1307809273	"https://twitter.com/pml_tray"
"BuzzFeedNews"	1020058453	"https://twitter.com/BuzzFeedNews"
"Sankei_news"	562773398	"https://twitter.com/Sankei_news"
"Rustavi2tv"	326699466	"https://twitter.com/Rustavi2tv"
"HispanicOutlook"	102789361	"https://twitter.com/HispanicOutlook"
"TLC"	21313855	"https://twitter.com/TLC"
"SpaceNews_Inc"	31098756	"https://twitter.com/SpaceNews_Inc"
"mic"	139909832	"https://twitter.com/mic"
"XHNews"	487118986	"https://twitter.com/XHNews"
"TorontoStar"	12848262	"https://twitter.com/TorontoStar"
"DallasBizNews"	26307302	"https://twitter.com/DallasBizNews"
"Univision"	40924038	"https://twitter.com/Univision"
"SvD"	26489325	"https://twitter.com/SvD"
"CyberScoopNews"	720664083767435264	"https://twitter.com/CyberScoopNews"
"TOIIndiaNews"	29958928	"https://twitter.com/TOIIndiaNews"
"SenatePress"	2375533844	"https://twitter.com/SenatePress"
"canalplus"	326698989	"https://twitter.com/canalplus"
"DailyHampGaz"	15361185	"https://twitter.com/DailyHampGaz"
"TriceEdneyWire"	252393635	"https://twitter.com/TriceEdneyWire"
"industrydive"	216795782	"https://twitter.com/industrydive"
"vicenews"	1630896181	"https://twitter.com/vicenews"
"washingtonwatch"	15369049	"https://twitter.com/washingtonwatch"
"MLexclusive"	1341917431	"https://twitter.com/MLexclusive"
"energyintel"	29952250	"https://twitter.com/energyintel"
"RadioOne_inc"	20610995	"https://twitter.com/RadioOne_inc"
"FTCWATCH"	349303517	"https://twitter.com/FTCWATCH"
"thomsonreuters"	14412844	"https://twitter.com/thomsonreuters"
"itn"	2723498863	"https://twitter.com/itn"
"SPGMarketIntel"	76511168	"https://twitter.com/SPGMarketIntel"
"AgenciaTelam"	208413101	"https://twitter.com/AgenciaTelam"
"HankyorehNews"	113545480	"https://twitter.com/HankyorehNews"
"SBGC2C"	741343677465890820	"https://twitter.com/SBGC2C"
"dcexaminer"	18956073	"https://twitter.com/dcexaminer"
"syracusedotcom"	16477702	"https://twitter.com/syracusedotcom"
"LlewellynKing2"	2789298739	"https://twitter.com/LlewellynKing2"
"WestWingReport"	20182089	"https://twitter.com/WestWingReport"
"rte"	1245699895	"https://twitter.com/rte"
"NJAdvanceMedia"	2415135272	"https://twitter.com/NJAdvanceMedia"
"theinclinepgh"	722795684496158720	"https://twitter.com/theinclinepgh"
"TPM"	14717197	"https://twitter.com/TPM"
"Spa_Eng"	3481182319	"https://twitter.com/Spa_Eng"
"TheAtlNews"	73190286	"https://twitter.com/TheAtlNews"
"NewsCPR"	476213099	"https://twitter.com/NewsCPR"
"splinter_news"	121817564	"https://twitter.com/splinter_news"
"Kiplinger"	22042454	"https://twitter.com/Kiplinger"
"France24_en"	25049056	"https://twitter.com/France24_en"
"kuna_ar"	255455212	"https://twitter.com/kuna_ar"
"radiofrance"	20230015	"https://twitter.com/radiofrance"
"people"	25589776	"https://twitter.com/people"
"EdibleAVL"	4484922880	"https://twitter.com/EdibleAVL"
"Militarydotcom"	14692385	"https://twitter.com/Militarydotcom"
"Medtech_Insight"	15905198	"https://twitter.com/Medtech_Insight"
"GaleiTzahal"	49969238	"https://twitter.com/GaleiTzahal"
"RTVi"	914032332	"https://twitter.com/RTVi"
"Philanthropy"	10880202	"https://twitter.com/Philanthropy"
"WashBlade"	19918986	"https://twitter.com/WashBlade"
"CanalRCN"	60613480	"https://twitter.com/CanalRCN"
"ABC7News"	14897840	"https://twitter.com/ABC7News"
"statnews"	3290364847	"https://twitter.com/statnews"
"WMALDC"	16509580	"https://twitter.com/WMALDC"
"SSIReview"	50360725	"https://twitter.com/SSIReview"
"XHNorthAmerica"	805780479496568832	"https://twitter.com/XHNorthAmerica"
"ReligionEthics"	185759513	"https://twitter.com/ReligionEthics"
"nycfam"	23382447	"https://twitter.com/nycfam"
"WTOP"	17906632	"https://twitter.com/WTOP"
"thenation"	1947301	"https://twitter.com/thenation"
"SPGlobalPlatts"	19795822	"https://twitter.com/SPGlobalPlatts"
"NPR"	5392522	"https://twitter.com/NPR"
"AirForceMag"	486811871	"https://twitter.com/AirForceMag"
"NatGeoMag"	34305774	"https://twitter.com/NatGeoMag"
"rmpbs"	9979202	"https://twitter.com/rmpbs"
"wetatvfm"	20006234	"https://twitter.com/wetatvfm"
"i24NEWS_EN"	1322420269	"https://twitter.com/i24NEWS_EN"
"thinkprogress"	55355654	"https://twitter.com/thinkprogress"
"ABCaustralia"	16714896	"https://twitter.com/ABCaustralia"
"WorldJournalLV"	2180919026	"https://twitter.com/WorldJournalLV"
"afpfr"	338985020	"https://twitter.com/afpfr"
"CTVNews"	203123011	"https://twitter.com/CTVNews"
"TribuneAgency"	2176995662	"https://twitter.com/TribuneAgency"
"swissinfo_en"	43092938	"https://twitter.com/swissinfo_en"
"OGJOnline"	29479859	"https://twitter.com/OGJOnline"
"TalkRadioNews"	107199576	"https://twitter.com/TalkRadioNews"
"TheGeorgetownr"	117629272	"https://twitter.com/TheGeorgetownr"
"TheAtlantic"	35773039	"https://twitter.com/TheAtlantic"
"NOS"	7174972	"https://twitter.com/NOS"
"WNYC"	6576492	"https://twitter.com/WNYC"
"ThisIsAmerica"	1665514478	"https://twitter.com/ThisIsAmerica"
"fujitv"	111651896	"https://twitter.com/fujitv"
"cnni"	2097571	"https://twitter.com/cnni"
"wbaltv11"	23618466	"https://twitter.com/wbaltv11"
"agbizweek"	2372045940	"https://twitter.com/agbizweek"
"qz"	573918122	"https://twitter.com/qz"
"TF1"	103821088	"https://twitter.com/TF1"
"CookPolitical"	191477653	"https://twitter.com/CookPolitical"
"SRNNews"	339825421	"https://twitter.com/SRNNews"
"dpa_intl"	1171473138	"https://twitter.com/dpa_intl"
"TIMA_ltd"	533309487	"https://twitter.com/TIMA_ltd"
"SBSNOW"	113259902	"https://twitter.com/SBSNOW"
"WJWeek"	20728061	"https://twitter.com/WJWeek"
"VoteramaDC"	246080041	"https://twitter.com/VoteramaDC"
"business"	34713362	"https://twitter.com/business"
"CBNNews"	26028938	"https://twitter.com/CBNNews"
"ENRnews"	19794121	"https://twitter.com/ENRnews"
"GuardianUS"	16042794	"https://twitter.com/GuardianUS"
"hankyungmedia"	180664850	"https://twitter.com/hankyungmedia"
"EMPublications"	2289877968	"https://twitter.com/EMPublications"
"AISHealth"	33360563	"https://twitter.com/AISHealth"
"GovExec"	17066782	"https://twitter.com/GovExec"
"MPRnews"	15965292	"https://twitter.com/MPRnews"
"BBC"	19701628	"https://twitter.com/BBC"
"AmosPress"	606625638	"https://twitter.com/AmosPress"
"KCET"	33726864	"https://twitter.com/KCET"
"Bloomberg"	104237736	"https://twitter.com/Bloomberg"
"lm_linfo"	2572250028	"https://twitter.com/lm_linfo"
"educationweek"	15147042	"https://twitter.com/educationweek"
"usatodayDC"	7998482	"https://twitter.com/usatodayDC"
"CBC"	16034244	"https://twitter.com/CBC"
"CourtHouseNews1"	744782119	"https://twitter.com/CourtHouseNews1"
"CdnPress"	43355844	"https://twitter.com/CdnPress"
"Internews"	17233335	"https://twitter.com/Internews"
"nikkei"	169480493	"https://twitter.com/nikkei"
"errnews"	176842974	"https://twitter.com/errnews"
"Law360"	23448455	"https://twitter.com/Law360"
"jyllandsposten"	24665133	"https://twitter.com/jyllandsposten"
"HispanicLinkNS"	2583983234	"https://twitter.com/HispanicLinkNS"
"MTVNews"	40076725	"https://twitter.com/MTVNews"
"nature"	487833518	"https://twitter.com/nature"
"CDCNewswire"	1490906214	"https://twitter.com/CDCNewswire"
"Capitol_Forum"	1961103174	"https://twitter.com/Capitol_Forum"
"DerSPIEGEL"	17965092	"https://twitter.com/DerSPIEGEL"
"AP_Broadcast"	26526042	"https://twitter.com/AP_Broadcast"
"LaVanguardia"	74453123	"https://twitter.com/LaVanguardia"
"jijicom"	143383314	"https://twitter.com/jijicom"
"lajornadaonline"	35977487	"https://twitter.com/lajornadaonline"
"CMILANOTICIA"	67654599	"https://twitter.com/CMILANOTICIA"
"El_Universal_Mx"	16676396	"https://twitter.com/El_Universal_Mx"
"agripulse"	106816456	"https://twitter.com/agripulse"
"cope_es"	9706822	"https://twitter.com/cope_es"
"HDTrucking"	85359093	"https://twitter.com/HDTrucking"
"freespeechtv"	21718571	"https://twitter.com/freespeechtv"
"glamourmag"	19247844	"https://twitter.com/glamourmag"
"fcnp"	14835160	"https://twitter.com/fcnp"
"France2tv"	31444568	"https://twitter.com/France2tv"
"EpochTimes"	29097819	"https://twitter.com/EpochTimes"
"AmerBanker"	26755480	"https://twitter.com/AmerBanker"
"insideclimate"	14050550	"https://twitter.com/insideclimate"
"FAZ_Eil"	24273149	"https://twitter.com/FAZ_Eil"
"CaracolTV"	117109734	"https://twitter.com/CaracolTV"
"thedailybeast"	16012783	"https://twitter.com/thedailybeast"
"Publici"	19034656	"https://twitter.com/Publici"
"SightlineMedia"	195726858	"https://twitter.com/SightlineMedia"
"news10"	14637199	"https://twitter.com/news10"
"PDChina"	303862998	"https://twitter.com/PDChina"
"bcbeat"	14705027	"https://twitter.com/bcbeat"
"TheBondBuyer"	45893454	"https://twitter.com/TheBondBuyer"
"elperiodico"	198829810	"https://twitter.com/elperiodico"
"cnsnews"	34927577	"https://twitter.com/cnsnews"
"axios"	800707492346925056	"https://twitter.com/axios"
"EBAmagazine"	90649160	"https://twitter.com/EBAmagazine"
"Bankrate"	104509652	"https://twitter.com/Bankrate"
"badischezeitung"	14136293	"https://twitter.com/badischezeitung"
"TheFiscalTimes"	95687597	"https://twitter.com/TheFiscalTimes"
"cspan"	15675138	"https://twitter.com/cspan"
"AINonline"	26333067	"https://twitter.com/AINonline"
"CorpCrimeReport"	20713331	"https://twitter.com/CorpCrimeReport"
"yleeurovision"	29423680	"https://twitter.com/yleeurovision"
"AsiaTodayNews"	162148752	"https://twitter.com/AsiaTodayNews"
"BreitbartNews"	457984599	"https://twitter.com/BreitbartNews"
"AztecaAmerica"	23243934	"https://twitter.com/AztecaAmerica"
"Eater"	26329195	"https://twitter.com/Eater"
"BETNews"	226299107	"https://twitter.com/BETNews"
"CoxComm"	103637045	"https://twitter.com/CoxComm"
"CreatorsNation"	50368464	"https://twitter.com/CreatorsNation"
"ForeignPolicy"	26792275	"https://twitter.com/ForeignPolicy"
"chronicle"	12413032	"https://twitter.com/chronicle"
"FCWnow"	17230113	"https://twitter.com/FCWnow"
"DrexelTriangle"	15129603	"https://twitter.com/DrexelTriangle"
"TrumpetNews"	21795790	"https://twitter.com/TrumpetNews"
"BillForry"	27939908	"https://twitter.com/BillForry"
